,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Pred_Class
573,2.2,15.6,1366.0,768.0,0,8,256,2,0,6,5
574,2.2,15.6,1366.0,768.0,0,8,1000,0,0,6,6
575,2.2,15.6,1366.0,768.0,2,2,500,0,3,6,5
579,2.2,15.6,1366.0,768.0,2,4,500,0,3,6,5
580,2.2,15.6,1366.0,768.0,2,4,500,0,4,6,5
581,2.2,15.6,1366.0,768.0,2,4,1000,0,0,6,3
583,2.2,15.6,1366.0,768.0,2,4,1000,0,3,6,3
584,2.2,15.6,1366.0,768.0,2,8,128,2,3,6,5
585,2.2,15.6,1366.0,768.0,2,8,256,2,3,6,5
588,2.2,15.6,1366.0,768.0,2,8,500,0,4,6,5
590,2.2,15.6,1366.0,768.0,2,8,1000,0,3,6,3
592,2.2,15.6,1366.0,768.0,2,12,1000,0,3,6,3
593,2.2,15.6,1366.0,768.0,2,12,1000,0,4,6,3
594,2.2,15.6,1920.0,1080.0,0,4,128,2,0,6,5
595,2.2,15.6,1920.0,1080.0,0,4,256,2,0,6,5
596,2.2,15.6,1920.0,1080.0,0,4,1128,1,0,6,6
597,2.2,15.6,1920.0,1080.0,0,6,256,2,0,6,5
598,2.2,15.6,1920.0,1080.0,0,12,512,2,0,6,5
599,2.2,15.6,1920.0,1080.0,0,12,2000,0,0,6,0
602,2.2,15.6,1920.0,1080.0,2,4,128,2,3,6,5
604,2.2,15.6,1920.0,1080.0,2,4,256,2,0,6,5
606,2.2,15.6,1920.0,1080.0,2,4,256,2,3,6,5
607,2.2,15.6,1920.0,1080.0,2,4,256,2,4,6,5
608,2.2,15.6,1920.0,1080.0,2,4,500,0,3,6,5
609,2.2,15.6,1920.0,1080.0,2,4,500,0,4,6,5
611,2.2,15.6,1920.0,1080.0,2,4,1000,0,0,6,3
