,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
2913,2.2,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-9300H,16.0,524288.0,SSD,,Nvidia Gforce,geforce gtx 1650,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل IdeaPad L340 پردازنده Core i5 رم 16GB حافظه 512GB SSD گرافیک 4GB,IdeaPad L340 Core i5 16GB 512GB SSD 4GB Full HD Laptop,0.0
2914,1.2,نوت بوک (لپ تاپ),11.6,IPS or LED-backlit,768 * 1366,INTEL,Celeron,Celeron-N4020,4.0,262144.0,SSD,,Intel,uhd graphics 600,Dos,,,لپ تاپ لنوو 11 اینچی مدل Ideapad 1 پردازنده N4020 رم 4GB حافظه 256GB SSD گرافیک Intel,Ideapad 1 N4020 4GB 256GB SSD Intel 11 inch Laptop,0.0
2915,2.2,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-9300H,16.0,5243904.0,Hybrid,,Nvidia Gforce,geforce gtx 1650,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل IdeaPad L340 پردازنده Core i5 رم 16GB حافظه 1TB 512GB SSD گرافیک 4GB,IdeaPad L340 Core i5 16GB 1TB 512GB SSD 4GB Full HD Laptop,0.0
2916,2.39,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i7,i7 10750H,16.0,524288.0,SSD,,Nvidia,geforce gtx 1650ti,Windows X,,,لپ تاپ لنوو 15 اینچی مدل Legion 5 پردازنده Core i7 رم 16GB حافظه 512GB SSD گرافیک 4GB,Legion 5 Core i7 10750H 16GB 512GB SSD 4GB 1650TI Full HD Laptop,0.0
2918,2.2,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-9300H,16.0,2622464.0,Hybrid,,Nvidia Gforce,geforce gtx 1650,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل IdeaPad L340 پردازنده Core i5 رم 16GB حافظه 1TB 256GB SSD گرافیک 4GB,IdeaPad L340 Core i5 16GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2919,2.1,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 1035 G1,8.0,2622464.0,Hybrid,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 8GB حافظه 1TB 256GB SSD گرافیک 2GB,V15 Core i5 1035G1 8GB 1TB 256GB SSD 2GB MX330 Full HD Laptop,0.0
2920,2.0,نوت بوک (لپ تاپ),14.0,,768 * 1366,AMD,,,8.0,1024.0,HDD,,AMD Radeon,integrated graphics,Windows Y,,,لپ تاپ لنوو 14 اینچی مدل E41-45 پردازنده A6-7350 رم 8GB حافظه 1TB گرافیک AMD,E41-45 A6-7350 8GB 1TB 512MB AMD HD Laptop,0.0
2921,2.1,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 1035 G1,12.0,2622464.0,Hybrid,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 12GB حافظه 1TB 256GB SSD گرافیک 2GB,V15 Core i5 1035G1 12GB 1TB 256GB SSD 2GB MX330 Full HD Laptop,0.0
2922,2.1,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 1035 G1,8.0,1024.0,HDD,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 8GB حافظه 1TB گرافیک 2GB,V15 Core i5 1035G1 8GB 1TB 2GB MX330 FullHD Laptop,0.0
2923,2.1,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 1035 G1,8.0,1311744.0,Hybrid,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 8GB حافظه 1TB 128GB SSD گرافیک 2GB,V15 Core i5 1035G1 8GB 1TB 128GB SSD 2GB MX330 FullHD Laptop,0.0
