url,price_after_discount,original_price
/product/134078/asus-vivobook-x1502za-core-i3-1215u-4gb-256gb-ssd-intel-full-hd-laptop/,"16,749,000 تومان","16,999,000 تومان"
/product/134085/asus-vivobook-15x-oled-m1503ia-ryzen-5-4600h-8gb-512gb-ssd-amd-full-hd-laptop/,"24,189,000 تومان","24,299,000 تومان"
/product/134510/asus-vivobook-k513eq-oled-core-i7-1165g7-16gb-512gb-ssd-2gb-mx350-full-hd-laptop/,"34,644,000 تومان","34,829,000 تومان"
/product/134511/asus-x1500ea-core-i3-1115g4-8gb-256gb-ssd-intel-full-hd-laptop/,"16,689,000 تومان","16,799,000 تومان"
/product/134512/asus-x1500ea-core-i3-1115g4-12gb-512gb-ssd-intel-full-hd-laptop/,"17,723,000 تومان","17,833,000 تومان"
/product/134513/asus-x1500ea-core-i3-1115g4-20gb-512gb-ssd-intel-full-hd-laptop/,"18,574,000 تومان","18,699,000 تومان"
/product/134514/asus-x1500ea-core-i3-1115g4-12gb-1tb-ssd-intel-full-hd-laptop/,"19,289,000 تومان","19,399,000 تومان"
/product/134515/asus-x1500ea-core-i3-1115g4-20gb-1tb-ssd-intel-full-hd-laptop/,"20,289,000 تومان","20,399,000 تومان"
/product/134517/asus-x1500ea-core-i3-1115g4-8gb-1tb-ssd-intel-full-hd-laptop/,"18,789,000 تومان","18,899,000 تومان"
/product/134533/asus-vivobook-r565ep-core-i5-1135g7-16gb-512gb-ssd-2gb-full-hd-laptop/,"27,989,000 تومان","28,099,000 تومان"
/product/134534/asus-vivobook-r565ep-core-i5-1135g7-16gb-1tb-ssd-2gb-full-hd-laptop/,"29,408,000 تومان","29,533,000 تومان"
/product/134535/asus-vivobook-x1504va-core-i5-1335u-8gb-512gb-ssd-intel-full-hd-laptop/,"27,189,000 تومان","27,299,000 تومان"
/product/134536/asus-vivobook-x1504va-core-i5-1335u-12gb-512gb-ssd-intel-full-hd-laptop/,"27,789,000 تومان","27,899,000 تومان"
/product/134537/asus-vivobook-x1504va-core-i5-1335u-12gb-1tb-ssd-intel-full-hd-laptop/,"28,649,000 تومان","28,799,000 تومان"
/product/124999/hp-omen-16-b0001-b-core-i7-11800h-32gb-1tb-ssd-8gb-3070-full-hd-ips-laptop/,"60,500,000 تومان",
/product/126561/hp-victus-15-fa0031dx-core-i5-12450h-8gb-512gb-ssd-4gb-fhd-laptop/,"37,300,000 تومان","38,000,000 تومان"
/product/124995/hp-omen-16-b0003-a-core-i7-11800h-16gb-1tb-ssd-6gb-3060-full-hd-ips-laptop/,"53,000,000 تومان",
/product/124996/hp-omen-16-b0003-b-core-i7-11800h-32gb-1tb-ssd-6gb-3060-full-hd-ips-laptop/,"55,700,000 تومان",
/product/128691/hp-victus-15-fa0031dx-core-i5-12450h-16gb-512gb-ssd-4gb-fhd-laptop/,"39,800,000 تومان",
/product/134480/hp-pavilion-x360-14t-ek1000-core-i7-1355u-16gb-1tb-ssd-intel-full-hd-touch-lapto/,"57,150,000 تومان",
/product/134481/hp-spectre-x360-14-ef2013dx-core-i7-1355u-16gb-1tb-ssd-intel-full-hd-touch-lapto/,"74,350,000 تومان","74,550,000 تومان"
/product/134490/hp-envy-16-h1023dx-c-core-i9-13900h-32gb-2tb-ssd-8gb-qhd-touch-laptop/,"108,300,000 تومان","108,700,000 تومان"
