,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
1261,1.25 KG,مک‌بوک,13.3,IPS,1600 * 2560,INTEL,Core i5,,8.0,262144.0,SSD,حافظه خشک,Intel,UHD Graphics 617,Apple Mac OS,,,لپ تاپ اپل مک بوک ایر مدل MRE92,MacBook Air 2018 MRE92 13.3 inch with Retina Display Laptop,0.0
1262,1.7 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i5,i5-7200U,6.0,1024.0,HDD,,AMD Radeon,R5 M530 GDDR5,Dos,,,لپ تاپ لنوو مدلIdeapad V130 با پردازنده i5,Ideapad V130 Core i5 6GB 1TB 2GB Laptop,0.0
1263,2.2 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-9300H,8.0,1311744.0,SSDHDDحافظه‌های هیبردی,,Nvidia Gforce,GeForce GTX 1050 DDR5,Dos,,,لپ تاپ لنوو مدل آیدیاپد L340 با پردازنده i5,IdeaPad L340 Core i5 8GB 1TB 128GB SSD 3GB Full HD Laptop,0.0
1264,1.25 KG,مک‌بوک,13.3,IPS,1600 * 2560,INTEL,Core i5,,8.0,131072.0,SSD,حافظه خشک,Intel,UHD Graphics 617,Apple Mac OS,,,لپ تاپ اپل مک بوک ایر 2019 مدل MVFM2,MacBook Air 2019 MVFM2 13.3 inch with Retina Display Laptop,0.0
1265,1.37 KG,مک‌بوک,13.3,IPS LCD,1600 * 2560,INTEL,Core i5,,8.0,262144.0,SSD,حافظه خشک,Intel,Iris Plus Graphics 655,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MR9U2 دارای تاچ بار و صفحه نمایش رتینا,MacBook Pro 2018 MR9U2 13 inch with Touch Bar and Retina Display Laptop,0.0
1266,1.82 KG,مک‌بوک,15.4,IPS LCD,1800 * 2880,INTEL,Core i7,,16.0,262144.0,SSD,حافظه خشک,AMD Radeon,Pro 555,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MPTR2 دارای تاچ بار و صفحه نمایش رتینا,MacBook Pro 2017 MPTR2 15.4 inch with Touch Bar and Retina Display Laptop,0.0
1267,1.37 KG,مک‌بوک,13.3,IPS LCD,1600 * 2560,INTEL,Core i5,,8.0,262144.0,SSD,حافظه خشک,Intel,Iris Plus Graphics 640,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MPXU2 دارای صفحه نمایش رتینا,MacBook Pro 2017 MPXU2 13 inch with Retina Display Laptop,0.0
1268,1.37 KG,مک‌بوک,13.3,IPS LCD,1600 * 2560,INTEL,Core i5,,8.0,131072.0,SSD,حافظه خشک,Intel,Iris Plus Graphics 640,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MPXR2 دارای صفحه نمایش رتینا,MacBook Pro 2017 MPXR2 13 inch with Retina Display Laptop,0.0
1269,1.83 KG,مک‌بوک,15.4,IPS LCD,1800 * 2880,INTEL,Core i7,,16.0,1024.0,SSD,حافظه خشک,AMD Radeon,Pro 560,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MPTW2 دارای تاچ بار و صفحه نمایش رتینا,MacBook Pro 2017 MPTW2 15.4 inch with Touch Bar and Retina Display Laptop,0.0
1270,2.04 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-7200U,4.0,1024.0,SATA,,AMD Radeon,R5 M430,Microsoft Windows 10,,,لپ تاپ اچ پی مدل ay105ne با پردازنده i5 و صفحه نمایش فول اچ دی,15 ay105ne Core i5 4GB 1TB 2GB Full HD Laptop,0.0
1271,1.82 KG,مک‌بوک,15.4,IPS LCD,1800 * 2880,INTEL,Core i7,,16.0,524288.0,SSD,حافظه خشک,AMD Radeon,Pro 560,Apple Mac OS,,,لپ تاپ اپل مک بوک پرو مدل MPTV2 دارای تاچ بار و صفحه نمایش رتینا,MacBook Pro 2017 MPTV2 15.4 inch with Touch Bar and Retina Display Laptop,0.0
1272,2.5 KG,,15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i5,i5-4210U,6.0,1024.0,SATA,,Nvidia Gforce,GeForce 820M,Dos,,,لپ تاپ اچ پی پاویلیون آر 213 با پردازنده i5,Pavilion-15-R213-Core-i5-6GB-1TB-2GB,0.0
1273,2.19 KG,نوت بوک (لپ تاپ),15.6,LED-backlit LCD,768 * 1366,INTEL,Core i3,i3-5005U,4.0,512000.0,SATA,,Intel,HD Graphics 5500,Dos,,,لپ تاپ اچ پی ای سی 197 با پردازنده i3,ac197nia Core i3 4GB 500GB Intel,0.0
1274,2.3 KG,,15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Pentium,Pentium-2117u,4.0,512000.0,SATA,,AMD Radeon,HD 8670M,Dos,,,لپ تاپ اچ پی پاویلیون ان 264 با پردازنده پنتیوم,Pavilion-15-N264se-2117U-4GB-500GB-1GB,0.0
1275,2.04 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i7,i7-7500U,8.0,1024.0,SATA,,AMD Radeon,R7 M440,Dos,,,لپ تاپ اچ پی مدل ProBook 450 G4 با پردازنده i7,ProBook 450 G4 Core i7 8GB 1TB 2GB Laptop,0.0
1276,2.5 KG,,15.6,LED Bright,768 * 1366,INTEL,Core i5,i5-5200U,6.0,1024.0,SATA,,Nvidia Gforce,GT 820M,Dos,,,لپ تاپ اچ پی پاویلیون آر 222 با پردازنده i5,Pavilion-15-R222-Core-i5-6GB-1TB-2GB,0.0
1277,2.3 KG,,15.6,TFT LED-backlit LCD,768 * 1366,AMD,,A8-5550M,8.0,1024.0,SATA,,AMD Radeon,R5 M24,Dos,,,لپ تاپ اچ پی پروبوک 355 با پردازنده ای ام دی,ProBook-355-G2-A8-8GB-1TB-2GB,0.0
1278,2.34 KG,,15.6,HD BrightView LED-backlit,768 * 1366,INTEL,Core i5,,8.0,82944.0,SSDSATA,,Nvidia Gforce,840M,Dos,,,لپ تاپ اچ پی مدل کی 007 با پردازنده i5,ENVY-15-K007ne-Core-i5-8GB-1TB+8GB-SSD-2GB,0.0
1279,2.5 KG,,15.6,LED Bright TFT Backlit LCD,768 * 1366,INTEL,Core i5,i5-5200U,6.0,1024.0,SATA,,Nvidia Gforce,GeForce 820M,Dos,,,لپ تاپ اچ پی پاویلیون آر 221 با پردازنده i5,Pavilion-15-R221-Core-i5-6GB-1TB-2GB,0.0
1280,2.85 KG,نوت بوک (لپ تاپ),17.0,IPS LCD,1080 * 1920,INTEL,Core i7,i7-6700HQ,16.0,1312768.0,SSDSATA,,Nvidia Gforce,GTX 960M GDDR5,Microsoft Windows 10,,,لپ تاپ 17 اینچ اچ پی مدل اومن با پردازنده i7 و صفحه نمایش فول اچ دی,Omen 17 W000ne Core i7 16GB 2TB+128GB SSD 4GB Full HD Laptop,0.0
1281,2.5 KG,,15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Celeron,Celeron-N2840,2.0,512000.0,SATA,,Intel,HD Graphics,Dos,,,لپ تاپ اچ پی پاویلیون آر 113 با پردازنده سلرون,Pavilion-15-R113ne-Celeron-2GB-500GB-Intel,0.0
1282,2.04 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i3,i3-5005U,4.0,1024.0,SATA,,AMD Radeon,R5 M430,Dos,,,لپ تاپ اچ پی ای وای 082 با پردازنده i3,15 ay082nia Core i3 4GB 1TB 2GB Laptop,0.0
1283,2.04 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i7,i7-7500U,16.0,2048.0,SATA,,Nvidia Gforce,940MX,Dos,,,لپ تاپ اچ پی مدل پاویلیون au105ne با پردازنده i7 و صفحه نمایش فول اچ دی,Pavilion 15 au105ne Core i7 16GB 2TB 4GB Full HD Laptop,0.0
1284,1.94 KG,نوت بوک (لپ تاپ),14.0,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-6200U,8.0,1024.0,SATA,,AMD Radeon,R5 M430,Dos,,,لپ تاپ اچ پی مدل ای ام 097 با پردازنده i5 و صفحه نمایش فول اچ دی,am097nia Core i5 8GB 1TB 4GB Full HD Laptop,0.0
1285,2.27 KG,,15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i3,i3-5010U,4.0,512000.0,SATA,,Nvidia Gforce,GT 830M,Dos,,,لپ تاپ اچ پی پاویلیون پی 243 با پردازنده i3,Pavilion 15 P243ne Core i3 4GB 500GB 2GB,0.0
1286,1.94 KG,نوت بوک (لپ تاپ),14.0,IPS LCD,1080 * 1920,INTEL,Core i5,i5-7200U,8.0,1024.0,SATA,,AMD Radeon,R5 M430,Dos,,,لپ تاپ اچ پی مدل am101ne با پردازنده i5 و صفحه نمایش فول اچ دی,14 am101ne Core i5 8GB 1TB 2GB Full HD Laptop,0.0
1287,1.94 KG,نوت بوک (لپ تاپ),14.0,IPS LCD,1080 * 1920,INTEL,Core i5,i5-7200U,8.0,1024.0,SATA,,AMD Radeon,R5 M430,Dos,,,لپ تاپ اچ پی مدل am100ne با پردازنده i5 و صفحه نمایش فول اچ دی,14 am100ne Core i5 8GB 1TB 2GB Full HD Laptop,0.0
1288,2.5 KG,,15.6,HD BrightView LED-backlit,768 * 1366,INTEL,Core i5,,4.0,512000.0,SATA,,Nvidia Gforce,GT 920M,Dos,,,لپ تاپ اچ پی پاویلیون آر 112 با پردازنده i5,Pavilion-15-R112ne-Core-i5-4GB-500GB-2GB,0.0
